adapt_lora,condition,epoch,gradient_norm_mean,historical_capacity,image_presentations,lora_learning_rate,macro_learning_rate,optimizer_steps,train_objective_accuracy,train_objective_nll,validation_accuracy,validation_nll,wall_seconds
True,"Frontier LoRA adaptation (H=1,024)",1,11.703676960685037,1024,1391,0.0002,1.2e-05,22,4.385334291876348,5.261692071800863,1.9678583142013775,5.7085068234462115,30.46413035877049
True,"Frontier LoRA adaptation (H=1,024)",2,9.952988321130926,1024,2782,0.0004,2.4e-05,44,20.848310567936736,4.11888097328389,8.265004919645785,4.658001983232207,56.350069247186184
True,"Frontier LoRA adaptation (H=1,024)",3,8.755007787184281,1024,4173,0.0004998879501747649,2.9993277010485895e-05,66,44.93170381020848,2.6368168132241725,34.011151197113804,3.1954466212026484,82.60558535531163
True,"Frontier LoRA adaptation (H=1,024)",4,7.255369663238525,1024,5564,0.0004988534095981426,2.9931204575888553e-05,88,72.32207045291157,1.3030826450679733,46.146277468022305,2.5360806353485517,108.62984273210168
True,"Frontier LoRA adaptation (H=1,024)",5,5.7037105777046895,1024,6955,0.0004967395643290278,2.980437385974167e-05,110,85.47807332854062,0.7269808935827698,50.737946867825514,2.2827318416106266,134.74562095478177
True,"Frontier LoRA adaptation (H=1,024)",6,4.720872954888777,1024,8346,0.0004935556753844361,2.9613340523066165e-05,132,90.1509705248023,0.5139726025864514,52.96818629058708,2.1629470895258627,161.3860800229013
True,"Frontier LoRA adaptation (H=1,024)",7,4.142896316268227,1024,9737,0.0004893156917747908,2.9358941506487447e-05,154,92.73903666427032,0.38410907953784756,52.83699573630699,2.1370787453205713,187.77902006357908
True,"Frontier LoRA adaptation (H=1,024)",8,4.187254829840227,1024,11128,0.0004840381893915863,2.9042291363495177e-05,176,93.02659956865564,0.3256869161840311,54.50967530337816,2.0742475485246508,213.8128218986094
True,"Frontier LoRA adaptation (H=1,024)",9,3.6603902253237637,1024,12519,0.000477746289624115,2.8664777377446898e-05,198,94.10496046010064,0.30623534906690364,55.13283043620859,2.097585018129183,239.9871397651732
True,"Frontier LoRA adaptation (H=1,024)",10,3.4661973172968086,1024,13910,0.0004704675580618071,2.8228053483708427e-05,220,94.68008626887132,0.2710047015005697,55.13283043620859,2.055674682096717,266.220960970968
True,"Frontier LoRA adaptation (H=1,024)",11,3.3402031768452036,1024,15301,0.0004622338837259814,2.7734033023558886e-05,242,95.11143062544932,0.2574691378238988,56.14955723187931,1.981614242658806,292.26532305404544
True,"Frontier LoRA adaptation (H=1,024)",12,3.3071887764063748,1024,16692,0.0004530813393601067,2.7184880361606398e-05,264,94.53630481667865,0.2627439084111316,55.16562807477862,2.0381636076889964,318.25363218411803
True,"Frontier LoRA adaptation (H=1,024)",13,3.1482319235801697,1024,18083,0.0004430500233906607,2.658300140343964e-05,286,95.03953989935299,0.22259835216486565,55.13283043620859,2.022182538416316,345.17781251482666
True,"Frontier LoRA adaptation (H=1,024)",14,3.109215324575251,1024,19474,0.0004321838842509749,2.5931033055058493e-05,308,95.61466570812365,0.20202640215327292,56.54312889471958,1.9770334230637543,371.45014672353864
True,"Frontier LoRA adaptation (H=1,024)",15,2.752742978659543,1024,20865,0.0004205305278377239,2.5231831670263432e-05,330,96.26168224299066,0.1906814720886033,55.067235159068545,2.0239875921072357,397.6040248628706
True,"Frontier LoRA adaptation (H=1,024)",16,3.011079815301028,1024,22256,0.00040814100894361624,2.4488460536616973e-05,352,95.47088425593098,0.21145408741438843,55.591997376188914,2.0041915853518506,423.82654857076705
True,"Frontier LoRA adaptation (H=1,024)",17,2.562581078572707,1024,23647,0.00039506960758004683,2.370417645480281e-05,374,97.19626168224299,0.1479610779746499,55.10003279763857,2.0407637398764518,450.0515549592674
